,y,x,vel_change_bee_non_focal,count
81,5,1,0.07058039187019988,1386207.0
82,5,2,0.07332031082690003,1071414.0
83,5,3,0.07512779757330758,829295.0
84,5,4,0.0775552158883383,642615.0
85,5,5,0.0788958747584188,499596.0
86,5,6,0.08222833249259554,392044.0
87,5,7,0.08933275937598305,324087.0
88,5,8,0.09443494435499303,303085.0
89,5,9,0.10061713429315183,343695.0
90,5,10,0.10205935910197823,474809.0
91,5,11,0.10231425218631712,739928.0
92,5,12,0.10007689224810615,1184233.0
93,5,13,0.09865019501023693,1804499.0
94,5,14,0.09658802351456265,2522245.0
95,5,15,0.09570449313054229,3235004.0
96,6,0,0.06768088954228357,2051789.0
97,6,1,0.07298523252838343,1700037.0
98,6,2,0.07621486824390208,1407189.0
99,6,3,0.07996606301741165,1172807.0
100,6,4,0.08219065995889895,987013.0
101,6,5,0.08598289737355838,842475.0
102,6,6,0.08807619863856102,735036.0
103,6,7,0.09269235151814012,669075.0
104,6,8,0.09758219518418342,656212.0
105,6,9,0.10012349911889487,710157.0
106,6,10,0.10237139151260936,859043.0
107,6,11,0.10128041529560443,1135601.0
108,6,12,0.09963751138671458,1571958.0
109,6,13,0.09739441802570767,2146470.0
110,6,14,0.09562381678938778,2801738.0
111,6,15,0.0952742584707728,3447168.0
112,7,0,0.06998022095213105,2450467.0
113,7,1,0.07483628891206899,2162461.0
114,7,2,0.07873668458452182,1917214.0
115,7,3,0.08260912876376744,1717917.0
116,7,4,0.08639725641314475,1559984.0
117,7,5,0.08899699936718755,1435992.0
118,7,6,0.09234917488415317,1349203.0
119,7,7,0.09603761197329666,1298701.0
120,7,8,0.0993251474610934,1295899.0
121,7,9,0.10033018411710037,1360937.0
122,7,10,0.1009832211243297,1522054.0
123,7,11,0.10038459825635128,1806412.0
124,7,12,0.0993913810800221,2205950.0
125,7,13,0.09753653264950678,2697552.0
126,7,14,0.0957844739402954,3241497.0
127,7,15,0.09461162424867063,3768301.0
128,8,0,0.07166001293839049,2879677.0
129,8,1,0.07667531254143378,2679096.0
130,8,2,0.08050401155630738,2503420.0
131,8,3,0.08377879624873248,2363499.0
132,8,4,0.08730409455305038,2248451.0
133,8,5,0.09061001619257159,2164901.0
134,8,6,0.09303739743565982,2108404.0
135,8,7,0.09531078221245408,2082802.0
136,8,8,0.09726964647280278,2094014.0
137,8,9,0.09839704090336582,2169772.0
138,8,10,0.09945570281108797,2329061.0
139,8,11,0.09926804777677349,2594704.0
140,8,12,0.09805476783075964,2934341.0
141,8,13,0.09599266389993018,3321898.0
142,8,14,0.09515431397872008,3725165.0
143,8,15,0.09397162184480458,4092548.0
