,y,x,vel_change_bee_non_focal,count
0,0,0,-0.05113713598166527,4714617.0
1,0,1,0.0037161196986283695,3401041.0
2,0,2,0.06399651157364344,2651420.0
3,0,3,0.09099908731366198,2401170.0
4,0,4,0.10377155962151972,2224503.0
5,0,5,0.1116827674727036,2071970.0
6,0,6,0.11777775101061151,1987570.0
7,0,7,0.12243834689104201,1959183.0
8,0,8,0.12540578218072257,1985518.0
9,0,9,0.12662996688660375,2068873.0
10,0,10,0.12736501294590533,2224741.0
11,0,11,0.12721351964208408,2461526.0
12,0,12,0.12668325047288828,2801280.0
13,0,13,0.12644776650330636,3305212.0
14,0,14,0.13004232181648562,4353710.0
15,0,15,0.13367046252168582,5781613.0
16,1,0,-0.047417806341558635,3869774.0
17,1,1,0.02414174559777268,2518235.0
18,1,2,0.07123371065276791,2015814.0
19,1,3,0.08923705476371926,1776092.0
20,1,4,0.09949801949381376,1558034.0
21,1,5,0.10726735617386131,1417177.0
22,1,6,0.11255781220240241,1331703.0
23,1,7,0.11696264899682646,1290786.0
24,1,8,0.11954092621810718,1310017.0
25,1,9,0.12134910390546046,1398642.0
26,1,10,0.12290615874417724,1564468.0
27,1,11,0.12330796496886386,1820361.0
28,1,12,0.12381404952647479,2182536.0
29,1,13,0.12383759541928675,2659338.0
30,1,14,0.1272729324690804,3404276.0
31,1,15,0.1360052626390703,5006039.0
32,2,0,-0.04419901226323476,3140888.0
33,2,1,0.034101959251522984,1930605.0
34,2,2,0.06784210533228409,1524408.0
35,2,3,0.0797219636789248,1275763.0
36,2,4,0.08757009911679353,1069097.0
37,2,5,0.09328330028835802,937740.0
38,2,6,0.09745012699310124,846746.0
39,2,7,0.10066049852343584,799747.0
40,2,8,0.10345516761596651,809731.0
41,2,9,0.10749839559078168,891336.0
42,2,10,0.11122765314748631,1056974.0
43,2,11,0.11328992031789085,1319564.0
44,2,12,0.1161921313800026,1696428.0
45,2,13,0.11899060346241447,2185777.0
46,2,14,0.12362232782565542,2857582.0
47,2,15,0.1348081219924971,4240510.0
48,3,0,-0.03776092802850524,2631077.0
49,3,1,0.038107418555431025,1579085.0
50,3,2,0.06541961635573554,1220995.0
51,3,3,0.07222507223464704,980316.0
52,3,4,0.0764346062997302,794370.0
53,3,5,0.0822035283876513,668877.0
54,3,6,0.08296804480049975,580725.0
55,3,7,0.08403849607500483,530680.0
56,3,8,0.08514457401625604,531714.0
57,3,9,0.09164957052893762,602096.0
