,y,x,vel_change_bee_focal,count
0,0,0,0.13671143353800053,4714617.0
1,0,1,0.1298450780437379,3401041.0
2,0,2,0.12432935670368546,2651420.0
3,0,3,0.1241770913195639,2401170.0
4,0,4,0.1259334471890731,2224503.0
5,0,5,0.1289871855882275,2071970.0
6,0,6,0.1309770863402944,1987570.0
7,0,7,0.13122801084093316,1959183.0
8,0,8,0.12932956750192717,1985518.0
9,0,9,0.12596240477373236,2068873.0
10,0,10,0.12094781600750945,2224741.0
11,0,11,0.11403261165090817,2461526.0
12,0,12,0.10362723717383072,2801280.0
13,0,13,0.08058173802335826,3305212.0
14,0,14,0.030657275873258186,4353710.0
15,0,15,-0.010826739580521537,5781613.0
16,1,0,0.1353529869267748,3869774.0
17,1,1,0.12281089152138436,2518235.0
18,1,2,0.1186289724708553,2015814.0
19,1,3,0.1181949359535717,1776092.0
20,1,4,0.12102003603277743,1558034.0
21,1,5,0.12372203063700048,1417177.0
22,1,6,0.12580861429543794,1331703.0
23,1,7,0.12482630052415677,1290786.0
24,1,8,0.12362511419333762,1310017.0
25,1,9,0.1202818496270123,1398642.0
26,1,10,0.11544901536422529,1564468.0
27,1,11,0.10950078252830804,1820361.0
28,1,12,0.10371422435591322,2182536.0
29,1,13,0.09089798198424591,2659338.0
30,1,14,0.05650292880485393,3404276.0
31,1,15,-0.0033779790539746678,5006039.0
32,2,0,0.13118110297753735,3140888.0
33,2,1,0.11447252291395658,1930605.0
34,2,2,0.1079698127666434,1524408.0
35,2,3,0.10579095993163465,1275763.0
36,2,4,0.10748807245195274,1069097.0
37,2,5,0.10801006814286675,937740.0
38,2,6,0.10802835491684766,846746.0
39,2,7,0.10758802813162377,799747.0
40,2,8,0.10805315570691745,809731.0
41,2,9,0.10573993910219416,891336.0
42,2,10,0.1037166250894991,1056974.0
43,2,11,0.09956904307384257,1319564.0
44,2,12,0.09668742810964329,1696428.0
45,2,13,0.0888664365595312,2185777.0
46,2,14,0.06670179120805907,2857582.0
47,2,15,0.009968279675255232,4240510.0
48,3,0,0.12668875641566169,2631077.0
49,3,1,0.10594845227232352,1579085.0
50,3,2,0.09790214229227676,1220995.0
51,3,3,0.09380438634498313,980316.0
52,3,4,0.09204532733580849,794370.0
53,3,5,0.09245694220975363,668877.0
54,3,6,0.09090671993834785,580725.0
55,3,7,0.08946419660000808,530680.0
56,3,8,0.08775121002322891,531714.0
57,3,9,0.08960616373519599,602096.0
58,3,10,0.08818494342893661,758443.0
59,3,11,0.08851707338964482,1014257.0
60,3,12,0.08845074781650067,1392119.0
61,3,13,0.08506812301443366,1893431.0
62,3,14,0.07044013587351478,2555322.0
63,3,15,0.018612908898006847,3798419.0
64,4,0,0.12411261072656904,2447381.0
65,4,1,0.10332058288081535,1452440.0
66,4,2,0.09359711790140846,1123188.0
67,4,3,0.0900245742165862,883132.0
68,4,4,0.08867482979740558,706177.0
69,4,5,0.08569838438366907,583986.0
70,4,6,0.08423382356126093,499131.0
71,4,7,0.08158891375378502,449423.0
72,4,8,0.08149854270830308,446199.0
73,4,9,0.08319405318440806,511808.0
74,4,10,0.0823904848879042,663881.0
75,4,11,0.08390931488521487,916974.0
76,4,12,0.08507678926804832,1289483.0
77,4,13,0.0837894976318881,1795025.0
78,4,14,0.07126407778162681,2462327.0
79,4,15,0.023109405442850853,3655532.0
80,5,0,0.12555297144510863,2623083.0
81,5,1,0.10770609278585613,1575041.0
82,5,2,0.09885757751431136,1217614.0
83,5,3,0.09549199156182461,976425.0
84,5,4,0.0965215275407037,790366.0
85,5,5,0.09418707679787985,667292.0
86,5,6,0.09205332787246973,581095.0
87,5,7,0.09078157057955177,534427.0
88,5,8,0.08785639410028599,536666.0
89,5,9,0.08982443130834346,608984.0
90,5,10,0.08797316292316448,766821.0
91,5,11,0.08802464467468187,1024019.0
92,5,12,0.08820592178510198,1402178.0
93,5,13,0.08543096946007848,1904767.0
94,5,14,0.07049211507485273,2565437.0
95,5,15,0.02007857257311541,3802562.0
96,6,0,0.12988530710272647,3132359.0
97,6,1,0.11453322450325376,1921482.0
98,6,2,0.10902111452149837,1517600.0
99,6,3,0.10903677508625191,1268719.0
100,6,4,0.11130113628254944,1063363.0
101,6,5,0.11110883056344624,934765.0
102,6,6,0.10900484092045289,848352.0
103,6,7,0.10713547905836035,807505.0
104,6,8,0.10634477975328288,821615.0
105,6,9,0.10426178512307027,907713.0
106,6,10,0.10134193418436889,1076550.0
